name,record,fighter_url,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Edwin Aguilar,26-19-0 (1 NC),http://ufcstats.com/fighter-details/6cadc0a0ba7dc015,"5' 10""",185 lbs.,--,,"Jan 01, 1972",0.0,0,0.0,0,0.0,0,0,0.0
Jessica Aguilar,20-8-0,http://ufcstats.com/fighter-details/8f382b3baa954d2a,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",4.93,50,7.19,53,0.94,25,50,0.2
Kevin Aguilar,17-5-0,http://ufcstats.com/fighter-details/cf946e03ba2e7666,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",3.96,40,4.81,52,0.16,16,78,0.0
Jesus Aguilar,12-4-0,http://ufcstats.com/fighter-details/c051c2e12d692b8a,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996",2.54,38,2.29,61,1.52,29,45,1.1
Christian Aguilera,14-8-0,http://ufcstats.com/fighter-details/ae071698e1a3ccd4,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",2.54,37,4.04,48,0.0,0,60,0.0
Nick Aguirre,7-2-0,http://ufcstats.com/fighter-details/0978385b2bd9ef9b,"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996",0.73,33,2.89,45,1.16,20,33,0.6
Agulali,13-2-0,http://ufcstats.com/fighter-details/b2efa582adf73604,"5' 9""",125 lbs.,"67""",Switch,"Apr 07, 2005",2.74,60,2.19,59,0.0,0,100,0.0
Ahejiang Ailinuer,15-3-0,http://ufcstats.com/fighter-details/ff584c17bccbae0b,--,145 lbs.,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
Mike Aina,14-6-1 (1 NC),http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,"5' 9""",155 lbs.,--,Orthodox,"Dec 25, 1980",2.87,33,6.33,59,0.0,0,71,0.0
Ashiek Ajim,6-2-0,http://ufcstats.com/fighter-details/49dea784f6cfed71,"5' 8""",135 lbs.,"71""",Switch,"Jun 19, 1994",5.0,40,11.25,25,0.0,0,0,0.0
Hitomi Akano,18-10-0,http://ufcstats.com/fighter-details/2eada40ac8801559,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",0.59,45,2.58,55,0.0,0,8,0.5
Omari Akhmedov,21-6-1,http://ufcstats.com/fighter-details/16690d100f995f8f,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.97,34,2.84,55,2.58,45,65,0.2
Yoshihiro Akiyama,14-6-0 (2 NC),http://ufcstats.com/fighter-details/b0550072e5f0afa7,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.1,41,3.62,57,2.29,67,92,1.0
Rostem Akman,6-2-0,http://ufcstats.com/fighter-details/1fc64507a0cb38cf,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",1.8,25,3.97,57,1.0,40,87,0.0
Razak Al-Hassan,13-5-0,http://ufcstats.com/fighter-details/38b50fd1e1b5b656,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982",3.27,39,3.14,60,0.65,14,57,0.0
Abdul-Kareem Al-Selwady,15-4-0,http://ufcstats.com/fighter-details/597499ac7a5aac62,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995",4.14,34,3.6,59,2.32,30,20,0.0
Mostapha Al-Turk,6-6-0,http://ufcstats.com/fighter-details/1cf1310684a841f5,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,19,3.61,53,0.0,0,0,0.0
Herdem Alacabek,5-1-0,http://ufcstats.com/fighter-details/7578cc6bd750206b,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",3.84,65,6.66,23,2.06,50,42,0.0
Javi Alanis,0-4-0,http://ufcstats.com/fighter-details/2144954270be834d,"5' 6""",135 lbs.,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
Alatengheili,17-10-2,http://ufcstats.com/fighter-details/1897b7b913736a7c,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.82,32,5.12,57,1.74,43,75,0.0
Amir Albazi,17-3-0,http://ufcstats.com/fighter-details/6d35bf94f7d30241,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",2.47,33,3.88,59,1.18,25,62,0.4
Brett Albee,3-2-0,http://ufcstats.com/fighter-details/9b28292abe3166d5,--,225 lbs.,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
John Albert,6-5-0,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",3.05,49,2.82,35,0.0,0,50,6.1
Junior Albini,14-6-0,http://ufcstats.com/fighter-details/c482c8605455a213,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",3.98,51,6.08,52,1.54,37,100,0.0
Wes Albritton,0-1-0,http://ufcstats.com/fighter-details/184b955181bdef52,"5' 10""",188 lbs.,--,Orthodox,--,0.0,0,0.0,0,0.0,0,0,0.0
Aleksandra Albu,3-2-0,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",4.83,47,5.56,38,2.27,50,77,0.4
Israel Albuquerque,0-3-0,http://ufcstats.com/fighter-details/dd1b90eea08887f6,--,185 lbs.,--,Orthodox,--,0.32,13,3.34,25,0.0,0,0,0.0
Juan Alcain,1-2-0,http://ufcstats.com/fighter-details/39f62b833e4cf126,--,--,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
Iuri Alcantara,35-10-0 (1 NC),http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2.72,45,2.79,49,1.44,62,60,0.8
Ildemar Alcantara,21-11-0,http://ufcstats.com/fighter-details/7c6e87729e824ef4,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",1.93,38,2.63,50,2.0,68,81,0.9
Alfonso Alcarez,1-3-1,http://ufcstats.com/fighter-details/1e38bba6738b7b10,"5' 3""",145 lbs.,--,,"Jun 10, 1970",0.0,0,0.0,0,0.0,0,0,0.0
Gilbert Aldana,6-2-0,http://ufcstats.com/fighter-details/d26934530dc5b248,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",2.91,54,6.26,26,2.57,40,33,0.0
Irene Aldana,15-8-0,http://ufcstats.com/fighter-details/578ef12674df1e6a,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.19,39,6.64,56,0.15,50,77,0.2
Hector Aldana,4-3-0,http://ufcstats.com/fighter-details/c487223b0289bda9,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,38,5.08,59,0.93,100,0,0.0
Jose Alday,14-6-1,http://ufcstats.com/fighter-details/7460ddef986d3144,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991",3.13,44,3.13,58,0.0,0,57,0.0
Jose Aldo,32-10-0,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.65,46,3.81,60,0.47,51,92,0.1
JJ Aldrich,14-7-0,http://ufcstats.com/fighter-details/6fd953151d981979,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",3.96,47,4.32,61,0.75,26,67,0.0
Irina Alekseeva,5-4-0,http://ufcstats.com/fighter-details/103e2e33a60683e1,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",3.42,38,5.02,45,0.38,20,50,0.4
Talita Alencar,7-1-1,http://ufcstats.com/fighter-details/d35298b6df168456,"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990",2.91,37,3.36,55,3.02,26,66,0.6
Jim Alers,13-3-0 (1 NC),http://ufcstats.com/fighter-details/fe5a9547479396ab,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.9,40,4.38,56,2.26,41,80,0.3
John Alessio,35-17-0 (2 NC),http://ufcstats.com/fighter-details/7a15f3694c5cbc02,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",2.1,39,2.91,54,1.85,38,70,1.2
Houston Alexander,17-15-1 (2 NC),http://ufcstats.com/fighter-details/0541480fbf719d86,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54,3.2,52,1.19,57,33,0.0
Kenneth Alexander,7-6-0 (1 NC),http://ufcstats.com/fighter-details/8fd76e1b49c00ae2,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977",0.88,19,2.2,66,4.71,26,0,0.0
Lucas Alexander,8-5-0,http://ufcstats.com/fighter-details/11583163f45c7b31,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995",4.69,57,2.87,56,0.0,0,60,0.0
Marcio Alexandre Junior,17-4-0,http://ufcstats.com/fighter-details/d53482bef23235ba,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",1.61,45,2.89,42,0.35,20,66,0.7
Olaf Alfonso,8-12-0,http://ufcstats.com/fighter-details/b757c73f443d4fca,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974",1.65,38,4.77,53,0.37,7,22,0.7
Pablo Alfonso,9-7-0,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1,"5' 8""",145 lbs.,--,,"May 09, 1983",0.0,0,0.0,0,0.0,0,0,0.0
Levi Alford,1-7-0,http://ufcstats.com/fighter-details/41b34b7f11f6d085,--,--,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
Bill Algeo,18-9-0,http://ufcstats.com/fighter-details/9abc648e76c4493a,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",5.88,51,4.38,47,1.03,50,55,0.1
Royce Alger,3-2-0,http://ufcstats.com/fighter-details/669a3cb6e394f515,"5' 10""",199 lbs.,--,Orthodox,"Mar 06, 1965",0.0,0,0.0,0,0.0,0,0,0.0
Amir Aliakbari,10-1-0,http://ufcstats.com/fighter-details/e17770faae3ca54c,"6' 3""",250 lbs.,--,,"Jun 10, 1984",0.0,0,0.0,0,0.0,0,0,0.0
Sultan Aliev,15-3-0,http://ufcstats.com/fighter-details/e70de1859b7ee78e,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",1.41,45,2.2,56,1.76,38,100,0.0
Nurullo Aliev,11-0-0,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 08, 2000",2.72,44,1.63,58,2.12,43,80,0.3
Ikram Aliskerov,17-2-0,http://ufcstats.com/fighter-details/b07aed698fba8624,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992",6.86,64,5.47,41,3.2,60,100,0.5
Leon Aliu,10-2-0,http://ufcstats.com/fighter-details/6db394bf6c3b017c,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 14, 1989",6.32,50,10.11,38,0.0,0,0,0.0
John Allan,13-7-0 (1 NC),http://ufcstats.com/fighter-details/6ebe96a116e79e52,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",3.56,42,5.74,52,1.4,71,50,0.8
George Allen,13-19-2,http://ufcstats.com/fighter-details/1e13936d708bcff7,"6' 2""",205 lbs.,--,Open Stance,"Jan 13, 1967",0.8,38,3.1,43,0.0,0,50,0.0
Arnold Allen,20-4-0,http://ufcstats.com/fighter-details/040a74bb0a465c54,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",3.47,42,3.04,60,0.86,47,71,0.3
Brendan Allen,26-7-0,http://ufcstats.com/fighter-details/2f181c0467965b98,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.59,53,3.62,47,1.56,42,56,1.1
Daniel Allen,5-0-0,http://ufcstats.com/fighter-details/adf9a901308fb8e3,"6' 0""",155 lbs.,"75""",Southpaw,"Aug 10, 1992",7.6,51,5.87,53,2.0,66,100,0.0
Ben Alloway,18-8-0,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",1.28,49,1.9,59,0.62,50,26,0.0
Asu Almabayev,23-3-0,http://ufcstats.com/fighter-details/8d3273573b85be09,"5' 4""",125 lbs.,"65""",Orthodox,"Jan 25, 1994",2.31,50,1.99,53,4.46,42,44,1.5
Bekzat Almakhan,12-3-0,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 08, 1997",1.61,34,3.73,36,0.0,0,41,0.0
John Dave Almanza,6-1-0,http://ufcstats.com/fighter-details/088aa1b19b2dc14a,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 22, 2004",1.92,41,5.75,27,0.0,0,0,0.0
Ricardo Almeida,13-5-0,http://ufcstats.com/fighter-details/91186547a7f3f758,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,49,1.2,61,3.74,38,31,1.2
Magno Almeida,10-3-0 (1 NC),http://ufcstats.com/fighter-details/d615d6a10a4704cd,"6' 0""",155 lbs.,--,,"Jun 06, 1985",1.67,36,2.6,41,0.0,0,40,5.0
Thomas Almeida,22-5-0,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",4.84,43,4.93,61,0.17,14,75,0.0
Ericka Almeida,7-3-0,http://ufcstats.com/fighter-details/67a992d4cff22466,"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989",1.07,39,3.33,43,0.5,33,37,0.0
Estefani Almeida,7-3-0,http://ufcstats.com/fighter-details/f16ddfa31236efed,"5' 4""",125 lbs.,--,Orthodox,"Oct 17, 1988",3.13,37,6.07,42,0.0,0,0,0.0
Jailton Almeida,22-5-0,http://ufcstats.com/fighter-details/41e83a89929d1327,"6' 3""",225 lbs.,"79""",Orthodox,"Jun 26, 1991",2.23,62,1.3,43,5.64,55,60,1.7
Lucas Almeida,15-5-0,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991",4.94,39,5.36,44,0.0,0,53,0.0
Cesar Almeida,7-2-0,http://ufcstats.com/fighter-details/64d47ef881a437a4,"6' 1""",185 lbs.,"74""",Orthodox,"Mar 28, 1988",3.46,58,2.03,46,0.0,0,52,0.2
Mauricio Alonso,13-7-0 (1 NC),http://ufcstats.com/fighter-details/c6bf75775b278ed8,"6' 2""",170 lbs.,--,,"Feb 27, 1980",5.74,34,1.91,67,0.0,0,0,0.0
Sarah Alpar,9-6-0,http://ufcstats.com/fighter-details/49b130de1da2e1bf,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",2.36,44,6.06,38,1.61,26,20,0.4
Ali AlQaisi,8-5-0,http://ufcstats.com/fighter-details/e87a13e02c01331d,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",2.43,42,1.97,56,3.5,29,60,1.0
Rico Altamirano,4-3-0,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,"5' 10""",170 lbs.,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
Victor Altamirano,12-5-0,http://ufcstats.com/fighter-details/dc7927cd622676a7,"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991",4.58,53,3.82,53,2.88,38,63,0.0
Mike Altman,1-4-0,http://ufcstats.com/fighter-details/c11036da9162cb5f,"5' 10""",185 lbs.,--,Orthodox,--,1.56,20,2.08,75,0.0,0,0,0.0
Patricia Alujas,9-3-0,http://ufcstats.com/fighter-details/430c533614d45813,"5' 4""",115 lbs.,"64""",Orthodox,"May 08, 1996",5.83,31,9.25,44,0.0,0,0,0.0
Sean Alvarez,4-3-0,http://ufcstats.com/fighter-details/e741536153227386,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971",0.89,37,3.25,47,0.0,0,0,0.0
Eddie Alvarez,29-6-0 (1 NC),http://ufcstats.com/fighter-details/33a331684283900f,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.32,41,4.39,55,2.92,36,92,0.5
Jaime Alvarez,6-1-0,http://ufcstats.com/fighter-details/4438482bd1d5a029,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",2.73,40,4.53,56,1.0,33,50,0.0
Joel Alvarez,23-3-0,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993",4.78,55,3.07,54,0.19,33,47,1.1
Thiago Alves,23-15-0,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.73,41,3.42,62,0.71,60,63,0.3
Anthony Alves,1-4-0,http://ufcstats.com/fighter-details/bd92cf5da5413d2a,--,--,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
Amilcar Alves,15-12-0,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",0.5,46,2.02,30,0.0,0,53,0.0
Warlley Alves,15-8-0,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991",3.04,48,3.95,50,1.22,50,62,0.8
Rafael Alves,20-12-0,http://ufcstats.com/fighter-details/029afd138865d20a,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990",1.85,48,3.3,58,0.29,25,44,1.5
Sam Alvey,33-18-1 (1 NC),http://ufcstats.com/fighter-details/d156513a19acf856,"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986",3.28,44,3.63,52,0.06,14,82,0.1
Christopher Alvidrez,7-1-0,http://ufcstats.com/fighter-details/f4abf9aeda861283,"6' 0""",170 lbs.,"74""",Orthodox,"Dec 27, 1996",6.97,62,2.11,50,0.0,0,100,0.0
Mahamed Aly,4-1-0,http://ufcstats.com/fighter-details/86c1441676af2c73,"6' 2""",205 lbs.,"78""",Orthodox,"Jan 11, 1994",6.0,66,12.0,33,0.0,0,0,0.0
Andre Amado,6-4-1,http://ufcstats.com/fighter-details/20821819c401ced8,"6' 0""",154 lbs.,--,Orthodox,"Oct 09, 1983",2.27,24,5.91,63,0.0,0,20,0.0
Adlan Amagov,14-2-1,http://ufcstats.com/fighter-details/1e327b281ef6a745,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,47,0.82,78,5.84,56,100,0.0
Maiara Amanajas dos Santos,7-3-0,http://ufcstats.com/fighter-details/247fbbfafea60bb1,"5' 5""",115 lbs.,--,Southpaw,"Jul 11, 1987",5.53,35,24.47,33,0.0,0,100,0.0
Chris Amarante,2-0-0,http://ufcstats.com/fighter-details/ee0b69e307c857e5,--,185 lbs.,--,,--,0.0,0,0.0,0,0.0,0,0,0.0
Jimmy Ambriz,17-21-1,http://ufcstats.com/fighter-details/c912f676692c353a,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970",0.83,29,3.76,40,3.13,57,100,0.8
JJ Ambrose,28-7-0 (2 NC),http://ufcstats.com/fighter-details/d562b12b8fe88336,"5' 10""",170 lbs.,--,Orthodox,"Feb 06, 1987",3.16,69,6.32,33,0.0,0,50,0.0
Alen Amedovski,8-4-0,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",0.99,30,3.85,46,0.0,0,0,0.0
Hyder Amil,11-2-0,http://ufcstats.com/fighter-details/41cc71cbf210e0fe,"5' 9""",145 lbs.,"70""",Switch,"May 28, 1990",5.81,52,3.95,51,0.56,18,65,0.8
Hamid Amiri,9-0-0,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2,--,145 lbs.,--,,"Jun 15, 2003",0.0,0,0.0,0,0.0,0,0,0.0
Makwan Amirkhani,17-9-0,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.33,44,2.98,46,3.96,43,35,1.1
Jaqueline Amorim,10-2-0,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08,"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995",2.43,50,2.16,54,2.16,36,0,3.8
Yaroslav Amosov,29-1-0,http://ufcstats.com/fighter-details/f139d6836efd43dd,"6' 0""",170 lbs.,"75""",Orthodox,"Sep 09, 1993",2.78,47,1.55,54,4.64,50,0,4.6
Bertrand Amoussou,1-1-0,http://ufcstats.com/fighter-details/53adf5b845d91e4a,"5' 8""",190 lbs.,--,Orthodox,"May 28, 1966",6.75,39,2.01,83,0.0,0,0,0.0
Karl Amoussou,27-7-2,http://ufcstats.com/fighter-details/23a8c33869bf5392,"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985",1.47,34,2.67,54,0.0,0,25,1.0
Eryk Anders,18-9-0 (1 NC),http://ufcstats.com/fighter-details/cad24459b28592ca,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",3.44,47,4.03,50,1.83,25,80,0.1
Matt Andersen,14-8-1,http://ufcstats.com/fighter-details/8738eacd62e82a32,"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971",0.0,0,0.0,0,0.0,0,0,0.0
Andy Anderson,0-1-0,http://ufcstats.com/fighter-details/9199e0735b83dd32,"5' 6""",240 lbs.,--,,"Jul 16, 1974",0.0,0,0.0,0,0.0,0,0,0.0
Lowell Anderson,0-1-0,http://ufcstats.com/fighter-details/1ffc38f67785797b,"5' 6""",160 lbs.,--,Orthodox,--,0.0,0,0.0,0,0.0,0,0,0.0
Corey Anderson,14-5-0,http://ufcstats.com/fighter-details/5e4eec08896c9423,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46,2.22,59,4.89,50,83,0.0
Derek Anderson,14-3-0 (1 NC),http://ufcstats.com/fighter-details/19ba965651486013,"6' 0""",155 lbs.,--,,"Feb 02, 1990",3.97,37,3.08,61,0.34,14,60,0.0
