event_name,event_date
UFC Live: Cruz vs Johnson,2011-10-01
UFC 136: Edgar vs Maynard 3,2011-10-08
,2011-10-08
,2011-10-29
UFC 137: Penn vs Diaz,2011-10-29
UFC 138: Leben vs Munoz,2011-11-05
UFC on FOX: Velasquez vs Dos Santos,2011-11-12
UFC 139: Shogun vs Henderson,2011-11-19
The Ultimate Fighter: Team Bisping vs Team Miller Finale,2011-12-03
UFC 140: Jones vs Machida,2011-12-10
,2011-12-10
UFC 141: Lesnar vs Overeem,2011-12-30
UFC 142: Aldo vs Mendes,2012-01-14
UFC on FX: Guillard vs Miller,2012-01-20
UFC on FOX: Evans vs Davis,2012-01-28
UFC 143: Diaz vs Condit,2012-02-04
UFC on FUEL TV: Sanchez vs Ellenberger,2012-02-15
UFC 144: Edgar vs Henderson,2012-02-25
,2012-02-25
UFC on FX: Alves vs Kampmann,2012-03-02
,2012-03-02
UFC on FUEL TV: Gustafsson vs Silva,2012-04-14
UFC 145: Jones vs Evans,2012-04-21
UFC on FOX: Diaz vs Miller,2012-05-05
UFC on FUEL TV: Korean Zombie vs Poirier,2012-05-15
UFC 146: Dos Santos vs Mir,2012-05-26
The Ultimate Fighter: Live Finale,2012-06-01
UFC on FX: Johnson vs McCall,2012-06-08
UFC on FX: Maynard vs Guida,2012-06-22
UFC 147: Silva vs Franklin 2,2012-06-23
UFC 148: Silva vs Sonnen 2,2012-07-07
,2012-07-07
UFC on FUEL TV: Munoz vs Weidman,2012-07-11
UFC 149: Faber vs Barao,2012-07-21
UFC on FOX: Shogun vs Vera,2012-08-04
UFC 150: Henderson vs Edgar II,2012-08-11
UFC 152: Jones vs Belfort,2012-09-22
UFC on FUEL TV: Struve vs Miocic,2012-09-29
UFC on FX: Browne vs Bigfoot,2012-10-05
UFC 153: Silva vs Bonnar,2012-10-13
,2012-10-13
UFC Macao: Franklin vs Le,2012-11-10
,2012-11-10
UFC 154: St-Pierre vs Condit,2012-11-17
UFC on FOX: Henderson vs Diaz,2012-12-08
UFC on FX: Sotiropoulos vs Pearson,2012-12-14
,2012-12-14
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-15
UFC 155: Dos Santos vs Velasquez II,2012-12-29
,2012-12-29
UFC on FX: Belfort vs Bisping,2013-01-19
UFC on FOX: Johnson vs Dodson,2013-01-26
,2013-01-26
UFC 156: Aldo vs Edgar,2013-02-02
,2013-02-02
UFC on FUEL TV: Barao vs McDonald,2013-02-16
UFC 157: Rousey vs Carmouche,2013-02-23
UFC on FUEL TV: Silva vs. Stann,2013-03-02
UFC 158: St-Pierre vs Diaz,2013-03-16
UFC on FUEL TV: Mousasi vs Latifi,2013-04-06
,2013-04-06
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,2013-04-13
,2013-04-13
UFC on FOX: Henderson vs Melendez,2013-04-20
UFC 159: Jones vs Sonnen,2013-04-27
UFC on FX: Belfort vs. Rockhold,2013-05-18
UFC 160: Velasquez vs Silva 2,2013-05-25
UFC on FUEL TV: Nogueira vs. Werdum,2013-06-08
,2013-06-08
UFC 161: Evans vs Henderson,2013-06-15
UFC 162: Silva vs Weidman,2013-07-06
UFC on FOX: Johnson vs Moraga,2013-07-27
UFC 163: Aldo vs Jung,2013-08-03
UFC Fight Night: Shogun vs Sonnen,2013-08-17
,2013-08-28
UFC Fight Night: Condit vs Kampmann 2,2013-08-28
UFC 164: Henderson vs Pettis 2,2013-08-31
UFC Fight Night: Teixeira vs Bader,2013-09-04
,2013-09-04
UFC 165: Jones vs Gustafsson,2013-09-21
,2013-09-21
UFC Fight Night: Maia vs Shields,2013-10-09
UFC 166: Velasquez vs Dos Santos 3,2013-10-19
UFC Fight Night: Machida vs Munoz,2013-10-26
,2013-10-26
,2013-11-06
UFC Fight Night: Fight for the Troops 3,2013-11-06
UFC Fight Night: Belfort vs Henderson 2,2013-11-09
,2013-11-09
UFC 167: St-Pierre vs Hendricks,2013-11-16
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30
,2013-11-30
UFC Fight Night: Hunt vs Bigfoot,2013-12-06
UFC on FOX: Johnson vs. Benavidez 2,2013-12-14
,2013-12-14
UFC 168: Weidman vs Silva 2,2013-12-28
,2013-12-28
UFC Fight Night: Saffiedine vs Lim,2014-01-04
UFC Fight Night: Rockhold vs Philippou,2014-01-15
,2014-01-15
UFC on FOX: Henderson vs Thomson,2014-01-25
,2014-01-25
UFC 169: Barao vs Faber 2,2014-02-01
UFC Fight Night: Machida vs Mousasi,2014-02-15
,2014-02-15
UFC 170: Rousey vs McMann,2014-02-22
,2014-02-22
UFC Fight Night: Kim vs Hathaway,2014-03-01
,2014-03-01
UFC Fight Night: Gustafsson vs Manuwa,2014-03-08
,2014-03-08
,2014-03-15
UFC 171: Hendricks vs Lawler,2014-03-15
UFC Fight Night: Shogun vs Henderson 2,2014-03-23
UFC Fight Night: Minotauro vs Nelson,2014-04-11
,2014-04-11
UFC Fight Night: Bisping vs Kennedy,2014-04-16
UFC on FOX: Werdum vs Browne,2014-04-19
UFC 172: Jones vs Teixeira,2014-04-26
UFC Fight Night: Brown vs Silva,2014-05-10
,2014-05-10
UFC 173: Barao vs Dillashaw,2014-05-24
UFC Fight Night: Munoz vs Mousasi,2014-05-31
UFC Fight Night: Miocic vs Maldonado,2014-05-31
,2014-05-31
UFC Fight Night: Henderson vs Khabilov,2014-06-07
,2014-06-14
UFC 174: Johnson vs Bagautinov,2014-06-14
UFC Fight Night: Swanson vs Stephens,2014-06-28
UFC Fight Night: Te Huna vs Marquardt,2014-06-28
,2014-06-28
UFC 175: Weidman vs Machida,2014-07-05
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,2014-07-06
,2014-07-06
UFC Fight Night: Cowboy vs Miller,2014-07-16
UFC Fight Night: McGregor vs Brandao,2014-07-19
,2014-07-19
UFC on FOX: Lawler vs Brown,2014-07-26
,2014-07-26
UFC Fight Night: Bader vs Saint Preux,2014-08-16
UFC Fight Night: Henderson vs Dos Anjos,2014-08-23
UFC Fight Night: Bisping vs Le,2014-08-23
,2014-08-23
UFC 177: Dillashaw vs Soto,2014-08-30
UFC Fight Night: Jacare vs Mousasi,2014-09-05
UFC Fight Night: Bigfoot vs Arlovski,2014-09-13
,2014-09-13
UFC Fight Night: Hunt vs Nelson,2014-09-20
UFC 178: Johnson vs Cariaso,2014-09-27
UFC Fight Night: Nelson vs Story,2014-10-04
UFC Fight Night: MacDonald vs Saffiedine,2014-10-04
,2014-10-04
UFC 179: Aldo vs Mendes 2,2014-10-25
,2014-10-25
UFC Fight Night: Rockhold vs Bisping,2014-11-07
UFC Fight Night 56: Shogun vs Saint Preux,2014-11-08
,2014-11-08
UFC 180: Werdum vs Hunt,2014-11-15
,2014-11-15
UFC Fight Night: Edgar vs Swanson,2014-11-22
,2014-11-22
UFC 181: Hendricks vs Lawler II,2014-12-06
The Ultimate Fighter: A Champion Will Be Crowned Finale,2014-12-12
,2014-12-12
UFC on FOX: Dos Santos vs Miocic,2014-12-13
UFC Fight Night: Machida vs Dollaway,2014-12-20
,2014-12-20
UFC 182: Jones vs Cormier,2015-01-03
UFC Fight Night: McGregor vs Siver,2015-01-18
,2015-01-24
UFC on FOX: Gustafsson vs Johnson,2015-01-24
UFC 183: Silva vs Diaz,2015-01-31
UFC Fight Night: Henderson vs Thatch,2015-02-14
UFC Fight Night: Bigfoot vs Mir,2015-02-22
,2015-02-22
UFC 184: Rousey vs Zingano,2015-02-28
UFC 185: Pettis vs Dos Anjos,2015-03-14
UFC Fight Night: Maia vs LaFlare,2015-03-21
,2015-03-21
,2015-04-04
UFC Fight Night: Mendes vs Lamas,2015-04-04
UFC Fight Night: Gonzaga vs Cro Cop 2,2015-04-11
,2015-04-11
UFC on FOX: Machida vs Rockhold,2015-04-18
UFC 186: Johnson vs Horiguchi,2015-04-25
,2015-04-25
UFC Fight Night: Miocic vs Hunt,2015-05-09
,2015-05-09
UFC Fight Night: Edgar vs Faber,2015-05-16
,2015-05-16
,2015-05-23
UFC 187: Johnson vs Cormier,2015-05-23
UFC Fight Night: Condit vs Alves,2015-05-30
,2015-05-30
UFC Fight Night: Boetsch vs Henderson,2015-06-06
UFC 188: Velasquez vs Werdum,2015-06-13
,2015-06-13
UFC Fight Night: Jedrzejczyk vs Penne,2015-06-20
,2015-06-20
UFC Fight Night: Machida vs Romero,2015-06-27
UFC 189: Mendes vs McGregor,2015-07-11
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,2015-07-12
,2015-07-12
UFC Fight Night: Mir vs Duffee,2015-07-15
UFC Fight Night: Bisping vs Leites,2015-07-18
,2015-07-18
UFC on FOX: Dillashaw vs. Barao II,2015-07-25
UFC 190: Rousey vs Correia,2015-08-01
,2015-08-01
UFC Fight Night: Teixeira vs Saint Preux,2015-08-08
,2015-08-08
UFC Fight Night: Holloway vs Oliveira,2015-08-23
UFC 191: Johnson vs Dodson 2,2015-09-05
,2015-09-05
UFC Fight Night: Barnett vs Nelson,2015-09-26
UFC 192: Cormier vs Gustafsson,2015-10-03
UFC Fight Night: Holohan vs Smolka,2015-10-24
,2015-10-24
UFC Fight Night: Belfort vs Henderson 3,2015-11-07
,2015-11-07
UFC 193: Rousey vs Holm,2015-11-14
,2015-11-21
UFC Fight Night: Magny vs Gastelum,2015-11-21
UFC Fight Night: Henderson vs Masvidal,2015-11-28
,2015-11-28
UFC Fight Night: Namajunas vs. VanZant,2015-12-10
,2015-12-10
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,2015-12-11
UFC 194: Aldo vs McGregor,2015-12-12
,2015-12-12
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19
,2016-01-02
UFC 195: Lawler vs Condit,2016-01-02
UFC Fight Night: Dillashaw vs Cruz,2016-01-17
UFC on FOX: Johnson vs. Bader,2016-01-30
UFC Fight Night: Hendricks vs Thompson,2016-02-06
,2016-02-06
UFC Fight Night: Cowboy vs Cowboy,2016-02-21
,2016-02-21
,2016-02-27
UFC Fight Night: Silva vs Bisping,2016-02-27
UFC 196: McGregor vs Diaz,2016-03-05
,2016-03-19
UFC Fight Night: Hunt vs Mir,2016-03-19
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10
,2016-04-10
UFC on FOX: Teixeira vs Evans,2016-04-16
,2016-04-16
UFC 197: Jones vs Saint Preux,2016-04-23
,2016-04-23
UFC Fight Night: Overeem vs Arlovski,2016-05-08
,2016-05-08
UFC 198: Werdum vs Miocic,2016-05-14
,2016-05-14
UFC Fight Night: Almeida vs Garbrandt,2016-05-29
UFC 199: Rockhold vs. Bisping 2,2016-06-04
,2016-06-04
UFC Fight Night: MacDonald vs Thompson,2016-06-18
,2016-06-18
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07
,2016-07-07
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,2016-07-08
UFC 200: Tate vs Nunes,2016-07-09
,2016-07-13
UFC Fight Night: McDonald vs. Lineker,2016-07-13
UFC on FOX: Holm vs. Shevchenko,2016-07-23
UFC 201: Lawler vs. Woodley,2016-07-30
UFC Fight Night: Rodriguez vs. Caceres,2016-08-06
,2016-08-06
UFC 202: Diaz vs. McGregor 2,2016-08-20
UFC on FOX: Maia vs. Condit,2016-08-27
,2016-08-27
,2016-09-03
UFC Fight Night: Arlovski vs. Barnett,2016-09-03
UFC 203: Miocic vs. Overeem,2016-09-10
,2016-09-10
UFC Fight Night: Poirier vs. Johnson,2016-09-17
,2016-09-17
UFC Fight Night: Cyborg vs. Lansberg,2016-09-24
,2016-09-24
UFC Fight Night: Lineker vs. Dodson,2016-10-01
UFC 204: Bisping vs. Henderson,2016-10-08
,2016-11-05
UFC Fight Night: Dos Anjos vs. Ferguson,2016-11-05
,2016-11-12
UFC 205: Alvarez vs McGregor,2016-11-12
UFC Fight Night: Mousasi vs. Hall 2,2016-11-19
UFC Fight Night: Bader vs. Nogueira,2016-11-19
,2016-11-19
UFC Fight Night: Whittaker vs. Brunson,2016-11-26
,2016-11-26
The Ultimate Fighter: Tournament of Champions Finale,2016-12-03
UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-09
,2016-12-09
UFC 206: Holloway vs. Pettis,2016-12-10
,2016-12-17
UFC on FOX: VanZant vs. Waterson,2016-12-17
UFC 207: Nunes vs. Rousey,2016-12-30
UFC Fight Night: Rodriguez vs. Penn,2017-01-15
,2017-01-15
UFC on FOX: Shevchenko vs. Pena,2017-01-28
UFC Fight Night: Bermudez vs. The Korean Zombie,2017-02-04
,2017-02-04
UFC 208: Holm vs. De Randamie,2017-02-11
,2017-02-11
,2017-02-19
UFC Fight Night: Lewis vs. Browne,2017-02-19
UFC 209: Woodley vs. Thompson 2,2017-03-04
UFC Fight Night: Belfort vs. Gastelum,2017-03-11
UFC Fight Night: Manuwa vs. Anderson,2017-03-18
,2017-03-18
UFC 210: Cormier vs. Johnson 2,2017-04-08
,2017-04-08
UFC on FOX: Johnson vs. Reis,2017-04-15
,2017-04-15
UFC Fight Night: Swanson vs. Lobov,2017-04-22
,2017-05-13
UFC 211: Miocic vs. Dos Santos,2017-05-13
UFC Fight Night: Gustafsson vs. Teixeira,2017-05-28
,2017-05-28
UFC 212: Aldo vs. Holloway,2017-06-03
,2017-06-03
UFC Fight Night: Lewis vs. Hunt,2017-06-10
,2017-06-10
UFC Fight Night: Holm vs. Correia,2017-06-17
,2017-06-17
UFC Fight Night: Chiesa vs. Lee,2017-06-25
The Ultimate Fighter: Redemption Finale,2017-07-07
,2017-07-07
UFC 213: Romero vs. Whittaker,2017-07-08
UFC Fight Night: Nelson vs. Ponzinibbio,2017-07-16
,2017-07-16
UFC Fight Night: Weidman vs. Gastelum,2017-07-22
,2017-07-22
UFC 214: Cormier vs. Jones 2,2017-07-29
,2017-07-29
,2017-08-05
UFC Fight Night: Pettis vs. Moreno,2017-08-05
UFC Fight Night: Volkov vs. Struve,2017-09-02
UFC 215: Nunes vs Shevchenko 2,2017-09-09
,2017-09-09
UFC Fight Night: Rockhold vs. Branch,2017-09-16
,2017-09-16
UFC Fight Night: Saint Preux vs. Okami,2017-09-22
,2017-09-22
UFC 216: Ferguson vs. Lee,2017-10-07
,2017-10-07
UFC Fight Night: Cerrone vs. Till,2017-10-21
UFC Fight Night: Brunson vs. Machida,2017-10-28
UFC 217: Bisping vs. St-Pierre,2017-11-04
,2017-11-11
UFC Fight Night: Poirier vs. Pettis,2017-11-11
UFC Fight Night: Werdum vs. Tybura,2017-11-18
UFC Fight Night: Bisping vs. Gastelum,2017-11-25
,2017-11-25
The Ultimate Fighter: A New World Champion Finale,2017-12-01
,2017-12-02
UFC 218: Holloway vs. Aldo 2,2017-12-02
UFC Fight Night: Swanson vs. Ortega,2017-12-09
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16
UFC 219: Cyborg vs. Holm,2017-12-30
,2017-12-30
UFC Fight Night: Stephens vs. Choi,2018-01-14
,2018-01-14
UFC 220: Miocic vs. Ngannou,2018-01-20
,2018-01-27
UFC Fight Night: Jacare vs. Brunson 2,2018-01-27
,2018-02-03
UFC Fight Night: Machida vs. Anders,2018-02-03
UFC 221: Romero vs. Rockhold,2018-02-10
UFC Fight Night: Cerrone vs. Medeiros,2018-02-18
,2018-02-18
UFC Fight Night: Emmett vs. Stephens,2018-02-24
,2018-02-24
UFC 222: Cyborg vs. Kunitskaya,2018-03-03
,2018-03-03
UFC Fight Night: Werdum vs. Volkov,2018-03-17
UFC 223: Khabib vs. Iaquinta,2018-04-07
,2018-04-14
UFC Fight Night: Poirier vs. Gaethje,2018-04-14
UFC Fight Night: Barboza vs. Lee,2018-04-21
UFC 224: Nunes vs. Pennington,2018-05-12
UFC Fight Night: Maia vs. Usman,2018-05-19
,2018-05-19
UFC Fight Night: Thompson vs. Till,2018-05-27
,2018-05-27
UFC Fight Night: Rivera vs. Moraes,2018-06-01
UFC 225: Whittaker vs. Romero 2,2018-06-09
,2018-06-23
UFC Fight Night: Cowboy vs. Edwards,2018-06-23
The Ultimate Fighter: Undefeated Finale,2018-07-06
UFC 226: Miocic vs. Cormier,2018-07-07
UFC Fight Night: Dos Santos vs. Ivanov,2018-07-14
,2018-07-14
,2018-07-22
UFC Fight Night: Shogun vs. Smith,2018-07-22
UFC Fight Night: Alvarez vs. Poirier 2,2018-07-28
,2018-07-28
,2018-08-04
UFC 227: Dillashaw vs. Garbrandt 2,2018-08-04
UFC Fight Night: Gaethje vs. Vick,2018-08-25
,2018-08-25
UFC 228: Woodley vs. Till,2018-09-08
,2018-09-08
UFC Fight Night: Hunt vs. Oleinik,2018-09-15
,2018-09-22
UFC Fight Night: Marreta vs. Anders,2018-09-22
UFC 229: Khabib vs. McGregor,2018-10-06
,2018-10-06
UFC Fight Night: Oezdemir vs. Smith,2018-10-27
UFC 230: Cormier vs. Lewis,2018-11-03
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-10
,2018-11-17
UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17
UFC Fight Night: Blaydes vs. Ngannou 2,2018-11-24
,2018-11-24
The Ultimate Fighter: Heavy Hitters Finale,2018-11-30
,2018-11-30
UFC Fight Night: Dos Santos vs. Tuivasa,2018-12-01
,2018-12-08
UFC 231: Holloway vs. Ortega,2018-12-08
UFC Fight Night: Lee vs. Iaquinta,2018-12-15
,2018-12-15
UFC 232: Jones vs. Gustafsson 2,2018-12-29
,2018-12-29
UFC Fight Night: Cejudo vs. Dillashaw,2019-01-19
,2019-01-19
UFC Fight Night: Assuncao vs. Moraes 2,2019-02-02
,2019-02-02
,2019-02-09
UFC 234: Adesanya vs. Silva,2019-02-09
UFC Fight Night: Ngannou vs. Velasquez,2019-02-17
,2019-02-17
UFC Fight Night: Blachowicz vs. Santos,2019-02-23
,2019-02-23
UFC 235: Jones vs. Smith,2019-03-02
,2019-03-02
UFC Fight Night: Lewis vs. Dos Santos,2019-03-09
,2019-03-09
UFC Fight Night: Till vs. Masvidal,2019-03-16
UFC Fight Night: Thompson vs. Pettis,2019-03-23
UFC Fight Night: Barboza vs. Gaethje,2019-03-30
,2019-03-30
UFC 236: Holloway vs. Poirier 2,2019-04-13
UFC Fight Night: Overeem vs. Oleinik,2019-04-20
UFC Fight Night: Jacare vs. Hermansson,2019-04-27
UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04
UFC 237: Namajunas vs. Andrade,2019-05-11
UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
UFC Fight Night: Gustafsson vs. Smith,2019-06-01
,2019-06-08
UFC 238: Cejudo vs. Moraes,2019-06-08
UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22
,2019-06-22
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29
,2019-06-29
UFC 239: Jones vs. Santos,2019-07-06
,2019-07-06
UFC Fight Night: De Randamie vs. Ladd,2019-07-13
,2019-07-13
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
UFC 240: Holloway vs. Edgar,2019-07-27
,2019-07-27
UFC Fight Night: Covington vs. Lawler,2019-08-03
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
,2019-08-10
UFC 241: Cormier vs. Miocic 2,2019-08-17
UFC Fight Night: Andrade vs. Zhang,2019-08-31
,2019-08-31
UFC 242: Khabib vs. Poirier,2019-09-07
,2019-09-07
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21
,2019-09-21
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28
UFC 243: Whittaker vs. Adesanya,2019-10-05
UFC Fight Night: Joanna vs. Waterson,2019-10-12
,2019-10-12
UFC Fight Night: Reyes vs. Weidman,2019-10-18
UFC Fight Night: Maia vs. Askren,2019-10-26
,2019-10-26
,2019-11-02
UFC 244: Masvidal vs. Diaz,2019-11-02
UFC Fight Night: Zabit vs. Kattar,2019-11-09
,2019-11-09
UFC Fight Night: Blachowicz vs. Jacare,2019-11-16
,2019-11-16
UFC Fight Night: Overeem vs. Rozenstruik,2019-12-07
,2019-12-07
UFC 245: Usman vs. Covington,2019-12-14
,2019-12-14
UFC Fight Night: Edgar vs. The Korean Zombie,2019-12-21
,2019-12-21
UFC 246: McGregor vs. Cowboy,2020-01-18
,2020-01-18
UFC Fight Night: Blaydes vs. Dos Santos,2020-01-25
,2020-01-25
,2020-02-08
UFC 247: Jones vs. Reyes,2020-02-08
UFC Fight Night: Anderson vs. Blachowicz,2020-02-15
,2020-02-22
UFC Fight Night: Felder vs. Hooker,2020-02-22
UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29
UFC 248: Adesanya vs. Romero,2020-03-07
,2020-03-07
UFC Fight Night: Lee vs. Oliveira,2020-03-14
,2020-03-14
UFC 249: Ferguson vs. Gaethje,2020-05-09
,2020-05-09
UFC Fight Night: Smith vs. Teixeira,2020-05-13
UFC Fight Night: Overeem vs. Harris,2020-05-16
,2020-05-30
UFC Fight Night: Woodley vs. Burns,2020-05-30
UFC 250: Nunes vs. Spencer,2020-06-06
UFC Fight Night: Eye vs. Calvillo,2020-06-13
UFC Fight Night: Blaydes vs. Volkov,2020-06-20
,2020-06-20
UFC Fight Night: Poirier vs. Hooker,2020-06-27
,2020-06-27
,2020-07-11
UFC 251: Usman vs. Masvidal,2020-07-11
UFC Fight Night: Kattar vs. Ige,2020-07-15
,2020-07-18
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18
UFC Fight Night: Whittaker vs. Till,2020-07-25
UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01
,2020-08-01
UFC Fight Night: Lewis vs. Oleinik,2020-08-08
,2020-08-08
UFC 252: Miocic vs. Cormier 3,2020-08-15
,2020-08-22
UFC Fight Night: Munhoz vs. Edgar,2020-08-22
UFC Fight Night: Smith vs. Rakic,2020-08-29
UFC Fight Night: Overeem vs. Sakai,2020-09-05
UFC Fight Night: Waterson vs. Hill,2020-09-12
,2020-09-12
UFC Fight Night: Covington vs. Woodley,2020-09-19
UFC 253: Adesanya vs. Costa,2020-09-26
UFC Fight Night: Holm vs. Aldana,2020-10-03
,2020-10-03
UFC Fight Night: Moraes vs. Sandhagen,2020-10-10
UFC Fight Night: Ortega vs. The Korean Zombie,2020-10-17
,2020-10-17
,2020-10-24
UFC 254: Khabib vs. Gaethje,2020-10-24
UFC Fight Night: Hall vs. Silva,2020-10-31
,2020-10-31
UFC Fight Night: Santos vs. Teixeira,2020-11-07
UFC Fight Night: Felder vs. Dos Anjos,2020-11-14
UFC 255: Figueiredo vs. Perez,2020-11-21
,2020-11-21
UFC Fight Night: Smith vs. Clark,2020-11-28
,2020-11-28
UFC Fight Night: Hermansson vs. Vettori,2020-12-05
UFC 256: Figueiredo vs. Moreno,2020-12-12
,2020-12-12
UFC Fight Night: Thompson vs. Neal,2020-12-19
UFC Fight Night: Holloway vs. Kattar,2021-01-16
UFC Fight Night: Chiesa vs. Magny,2021-01-20
,2021-01-20
UFC 257: Poirier vs. McGregor,2021-01-23
,2021-01-23
UFC Fight Night: Overeem vs. Volkov,2021-02-06
,2021-02-13
UFC 258: Usman vs. Burns,2021-02-13
UFC Fight Night: Blaydes vs. Lewis,2021-02-20
,2021-02-20
UFC Fight Night: Rozenstruik vs. Gane,2021-02-27
UFC 259: Blachowicz vs. Adesanya,2021-03-06
UFC Fight Night: Edwards vs. Muhammad,2021-03-13
UFC Fight Night: Brunson vs. Holland,2021-03-20
,2021-03-20
UFC 260: Miocic vs. Ngannou,2021-03-27
,2021-04-10
UFC Fight Night: Vettori vs. Holland,2021-04-10
UFC Fight Night: Whittaker vs. Gastelum,2021-04-17
UFC 261: Usman vs. Masvidal 2,2021-04-24
,2021-04-24
UFC Fight Night: Reyes vs. Prochazka,2021-05-01
UFC Fight Night: Rodriguez vs. Waterson,2021-05-08
,2021-05-08
UFC 262: Oliveira vs. Chandler,2021-05-15
,2021-05-15
UFC Fight Night: Font vs. Garbrandt,2021-05-22
UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
,2021-06-05
UFC 263: Adesanya vs. Vettori 2,2021-06-12
,2021-06-12
UFC Fight Night: Jung vs. Ige,2021-06-19
UFC Fight Night: Gane vs. Volkov,2021-06-26
UFC 264: Poirier vs. McGregor 3,2021-07-10
,2021-07-10
UFC Fight Night: Makhachev vs. Moises,2021-07-17
,2021-07-17
UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24
UFC Fight Night: Hall vs. Strickland,2021-07-31
,2021-07-31
UFC 265: Lewis vs. Gane,2021-08-07
,2021-08-07
UFC Fight Night: Cannonier vs. Gastelum,2021-08-21
UFC Fight Night: Barboza vs. Chikadze,2021-08-28
UFC Fight Night: Brunson vs. Till,2021-09-04
,2021-09-18
UFC Fight Night: Smith vs. Spann,2021-09-18
UFC 266: Volkanovski vs. Ortega,2021-09-25
UFC Fight Night: Santos vs. Walker,2021-10-02
UFC Fight Night: Dern vs. Rodriguez,2021-10-09
UFC Fight Night: Ladd vs. Dumont,2021-10-16
UFC Fight Night: Costa vs. Vettori,2021-10-23
UFC 267: Blachowicz vs. Teixeira,2021-10-30
UFC 268: Usman vs. Covington 2,2021-11-06
,2021-11-06
UFC Fight Night: Holloway vs. Rodriguez,2021-11-13
UFC Fight Night: Vieira vs. Tate,2021-11-20
UFC Fight Night: Font vs. Aldo,2021-12-04
UFC 269: Oliveira vs. Poirier,2021-12-11
UFC Fight Night: Lewis vs. Daukaus,2021-12-18
