Date,Winner,Loser,odds_w,odds_l,tournament,tour,event_type,source,source_url,source_note,round,bucket
2024-07-22,Laura Samson,Tara Wurth,1.88,1.93,Prague,wta,manual_search_article,tennistonic,https://tennistonic.com/tennis-news/745031/h2h-prediction-of-tara-wurth-vs-laura-samson-in-prague-with-odds-preview-pick-22nd-july-2024/,Page lists Laura Samson -> 1.88 and Tara Wurth -> 1.93 for the Prague first round on Monday July 22 2024.,R32,Prague 2024
2024-07-23,Laura Samson,Katerina Siniakova,5.9,1.134,Prague,wta,manual_search_article,tennistonic,https://tennistonic.com/tennis-news/745802/h2h-prediction-of-katerina-siniakova-vs-laura-samson-in-prague-with-odds-preview-pick-23rd-july-2024/,Page lists Katerina Siniakova -> 1.134 and Laura Samson -> 5.9 for the Prague second round on Tuesday July 23 2024.,R16,Prague 2024
2024-10-28,Han Shi,Margarita Gasparyan,1.22,4.3,Hong Kong,wta,manual_search_article,tennistonic,https://tennistonic.com/tennis-news/793239/h2h-prediction-of-han-shi-vs-margarita-betova-in-hong-kong-with-odds-preview-pick-28th-october-2024/,Page lists Han Shi -> 1.22 and Margarita Betova -> 4.3 for the Hong Kong first round on Monday October 28 2024.,R32,Hong Kong 2024
2025-06-06,Greet Minnen,Kimberly Birrell,2.39,1.84,Birmingham 125,wta,manual_search_article,sportytrader_odds,https://www.sportytrader.com/en/odds/greet-minnen-kimberly-birrell-7651456/,Page lists best odds Greet Minnen 2.39 and Kimberly Birrell 1.84 for the Birmingham 125 quarterfinal on June 6 2025.,QF,Birmingham 125 2025
2025-06-09,Emily Appleton,Simona Waltert,2.75,1.45,Ilkley 125,wta,manual_search_article,sportytrader_odds,https://www.sportytrader.com/en/odds/emily-appleton-simona-waltert-7652983/,Page lists best odds Emily Appleton 2.75 and Simona Waltert 1.45 for the Ilkley 125 first round on June 9 2025.,R32,Ilkley 125 2025
2025-04-16,Victoria Jimenez Kasintseva,Yue Yuan,1.69,2.21,Oeiras 125,wta,manual_search_article,sportytrader_odds,https://www.sportytrader.com/en/odds/yue-yuan-victoria-jimenez-kasintseva-7621023/,Page lists best odds Yue Yuan 2.21 and Victoria Jimenez Kasintseva 1.69 for the Oeiras 125 first round on April 16 2025.,R32,Oeiras 125 2025
2025-05-13,Renata Zarazua,Patricia Maria Tig,1.41,2.92,Parma 125,wta,manual_search_article,matchstat,https://matchstat.com/predictions-tips/tennis-prediction-pick-odds-tig-zarazua-h2h-parma-ladies-open-2025-day-2/,Page states Tig -> 2.92 and Zarazua -> 1.41 for the Parma first round on May 13 2025.,R32,Parma 125 2025
2026-02-09,Lucrezia Stefanini,Angelina Voloshchuk,1.24,4.18,Oeiras 125 Indoor #1,wta,manual_search_article,sportytrader_odds,https://www.sportytrader.com/en/odds/angelina-voloshchuk-lucrezia-stefanini-8314297/,Page lists best odds Angelina Voloshchuk 4.18 and Lucrezia Stefanini 1.24 for the Oeiras 125 first round on February 9 2026.,R32,Oeiras 125 Indoor #1 2026
2026-02-16,Carol Young Suh Lee,Anna-Lena Friedsam,1.83,2.0,Les Sables D'Olonne 125,wta,manual_search_article,sportytrader_odds,https://www.sportytrader.com/en/odds/anna-lena-friedsam-carol-youngsuh-lee-8319885/,Page lists best odds Anna-Lena Friedsam 2 and Carol Young Suh Lee 1.83 for Les Sables D Olonne 125 on February 16 2026.,R32,Les Sables D'Olonne 125 2026
2026-02-16,Viktorija Golubic,Ana Filipa Santos,1.01,26,Oeiras 125 Indoor #2,wta,manual_search_article,sportytrader_odds,https://www.sportytrader.com/en/odds/viktorija-golubic-ana-filipa-santos-8320917/,Page lists best odds Viktorija Golubic 1.01 and Ana Filipa Santos 26 for the Oeiras 125 first round on February 16 2026.,R32,Oeiras 125 Indoor #2 2026
2025-09-03,Alexandra Eala,Varvara Lepchenko,1.23,5.0,Guadalajara 125,wta,manual_search_article,sportytrader_odds,https://www.sportytrader.com/en/odds/varvara-lepchenko-alexandra-eala-7845398/,Page lists best odds Varvara Lepchenko 5 and Alexandra Eala 1.23 for Guadalajara on September 3 2025.,R16,Guadalajara 125 2025
2025-06-09,Viktorija Golubic,Lucrezia Stefanini,1.41,3.2,Ilkley 125,wta,manual_search_article,sportytrader_odds,https://www.sportytrader.com/en/odds/lucrezia-stefanini-viktorija-golubic-7652973/,Page lists best odds Lucrezia Stefanini 3.2 and Viktorija Golubic 1.41 for the Ilkley 125 first round on June 9 2025.,R32,Ilkley 125 2025
2025-09-29,Leolia Jeanjean,Maddison Inglis,1.99,1.84,Suzhou 125,wta,manual_search_article,sportytrader_odds,https://www.sportytrader.com/en/odds/maddison-inglis-leolia-jeanjean-7880830/,Page lists best odds Maddison Inglis 1.84 and Leolia Jeanjean 1.99 for the Suzhou 125 first round on September 29 2025.,R32,Suzhou 125 2025
2026-03-09,Oksana Selekhmeteva,Yue Yuan,2.0,1.83,Austin 125 #1,wta,manual_search_article,sportytrader_odds,https://www.sportytrader.com/en/odds/yue-yuan-oksana-selekhmeteva-8350640/,Page lists best odds Yue Yuan 1.83 and Oksana Selekhmeteva 2 for the Austin 125 first round on March 9 2026.,R32,Austin 125 #1 2026
2026-03-10,Ekaterine Gorgodze,Arantxa Rus,2.05,1.75,Antalya 125 #3,wta,manual_search_article,sportytrader_odds,https://www.sportytrader.com/en/odds/arantxa-rus-ekaterine-gorgodze-8350792/,Page lists best odds Arantxa Rus 1.75 and Ekaterine Gorgodze 2.05 for the Antalya 125 first round on March 10 2026.,R32,Antalya 125 #3 2026
2022-01-03,Hubert Hurkacz,Aleksandre Metreveli,1.0,17.0,Atp Cup,atp,manual_search_api,sofascore_api,https://api.sofascore.com/api/v1/event/10046843/odds/1/all,Sofascore archived Full time market for ATP Cup Singles returned home Hubert Hurkacz 0/1 and away Aleksandre Metreveli 16/1 on event 10046843.,RR,Atp Cup 2022
2023-02-02,Aleksandre Bakshi,Juan Carlos Prado Angelo,1.57,2.25,"Davis Cup WG2 PO: BOL vs GEO",atp,manual_search_api,sofascore_api,https://api.sofascore.com/api/v1/event/11033122/odds/1/all,"Sofascore archived Full time market for Davis Cup Singles, Group I-V returned home Aleksandre Bakshi 57/100 and away Juan Carlos Prado Angelo 5/4 on event 11033122.",RR,Davis Cup WG2 PO: BOL vs GEO 2023
2023-11-10,Yulia Putintseva,Tamara Zidansek,1.5,2.5,BJK Cup Finals,wta,manual_search_api,sofascore_api,https://api.sofascore.com/api/v1/event/11819329/odds/1/all,"Sofascore archived Full time market for Billie Jean King Cup Singles returned home Yulia Putintseva 1/2 and away Tamara Zidansek 3/2 on event 11819329.",RR,BJK Cup Finals 2023
2024-02-02,Kris Van Wyk,Linh Giang Trinh,1.1,6.5,"Davis Cup WG2 PO: VIE vs RSA",atp,manual_search_api,sofascore_api,https://api.sofascore.com/api/v1/event/12023353/odds/1/all,"Sofascore archived Full time market for Davis Cup Singles, Group I-V returned home Linh Giang Trinh 11/2 and away Kris van Wyk 1/10 on event 12023353.",RR,Davis Cup WG2 PO: VIE vs RSA 2024
2025-04-17,Francesca Jones,Noma Noha Akugue,1.5,2.5,Oeiras 125,wta,manual_search_api,sofascore_api,https://api.sofascore.com/api/v1/event/13772362/odds/1/all,"Sofascore archived Full time market for Oeiras, Portugal Round of 32 returned home Noma Noha Akugue 6/4 and away Francesca Jones 1/2 on event 13772362.",R32,Oeiras 125 2025
2022-03-04,Coleman Wong,Delmas Ntcha,1.04,9.0,"Davis Cup WG2 PO: HKG vs BEN",atp,manual_search_api,sofascore_api,https://api.sofascore.com/api/v1/event/10172503/odds/1/all,"Sofascore archived Full time market for Davis Cup Singles, Group I-V returned home D. N'Tcha 8/1 and away Coleman Wong 1/25 on event 10172503.",RR,Davis Cup WG2 PO: HKG vs BEN 2022
2023-02-03,Arklon Huertas Del Pino,Osgar Ohoisin,1.22,4.0,"Davis Cup WG1 PO: PER vs IRL",atp,manual_search_api,sofascore_api,https://api.sofascore.com/api/v1/event/11036328/odds/1/all,"Sofascore archived Full time market for Davis Cup Singles, Group I-V returned home Arklon Huertas Del Pino Cordova 11/50 and away O. O'Hoisin 3/1 on event 11036328.",RR,Davis Cup WG1 PO: PER vs IRL 2023
2023-09-16,Marcelo Arevalo,Osgar Ohoisin,1.285714,3.5,"Davis Cup WG2 R1: ESA vs IRL",atp,manual_search_api,sofascore_api,https://api.sofascore.com/api/v1/event/11647177/odds/1/all,"Sofascore archived Full time market for Davis Cup Singles, Group I-V returned home Marcelo Arevalo 2/7 and away O. O'Hoisin 5/2 on event 11647177.",RR,Davis Cup WG2 R1: ESA vs IRL 2023
2024-02-03,Sebastian Ofner,Osgar Ohoisin,1.01,26.0,"Davis Cup WG1 PO: IRL vs AUT",atp,manual_search_api,sofascore_api,https://api.sofascore.com/api/v1/event/12027533/odds/1/all,"Sofascore archived Full time market for Davis Cup Singles, Group I-V returned home O. O'Hoisin 25/1 and away Sebastian Ofner 1/100 on event 12027533.",RR,Davis Cup WG1 PO: IRL vs AUT 2024
